,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategory_penumpang
54,2021,10,Mikrotrans,JAK.14,Tanah Abang - Meruya,91917,sepi penumpang (Mikrotrans)
55,2021,10,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,18200,sepi penumpang (Mikrotrans)
56,2021,10,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,69299,sepi penumpang (Mikrotrans)
57,2021,10,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,93413,sepi penumpang (Mikrotrans)
58,2021,10,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,73467,sepi penumpang (Mikrotrans)
59,2021,10,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,78213,sepi penumpang (Mikrotrans)
60,2021,10,Mikrotrans,JAK.10,Tanah Abang - Kota,49482,sepi penumpang (Mikrotrans)
61,2021,10,Mikrotrans,JAK.09,Roxy Mas - Karet,28495,sepi penumpang (Mikrotrans)
62,2021,10,Mikrotrans,JAK.08,Roxy - Benhil,41236,sepi penumpang (Mikrotrans)
63,2021,10,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,56372,sepi penumpang (Mikrotrans)
64,2021,10,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,64505,sepi penumpang (Mikrotrans)
65,2021,10,Mikrotrans,JAK.05,Semper - Rorotan,65429,sepi penumpang (Mikrotrans)
66,2021,10,Mikrotrans,JAK.04,Grogol - Tubagus Angke,50863,sepi penumpang (Mikrotrans)
67,2021,10,Mikrotrans,JAK.03,Lebak Bulus - Andara,37131,sepi penumpang (Mikrotrans)
68,2021,10,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,48317,sepi penumpang (Mikrotrans)
69,2021,10,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,65293,sepi penumpang (Mikrotrans)
70,2021,10,BRT,9,Pinang Ranti - Pluit,670052,ramai penumpang (brt)
71,2021,10,BRT,8,Lebak Bulus - Harmoni,442361,sedang penumpang (brt)
72,2021,10,BRT,7,Kampung Rambutan - Kampung Melayu,376261,sedang penumpang (brt)
73,2021,10,BRT,6,Ragunan - Dukuh Atas 2,348321,sedang penumpang (brt)
74,2021,10,BRT,5,Kampung Melayu - Ancol,430590,sedang penumpang (brt)
75,2021,10,BRT,4,Pulo Gadung 2 - Tosari,274326,sedang penumpang (brt)
76,2021,10,BRT,3,Kalideres - Pasar Baru,466445,ramai penumpang (brt)
77,2021,10,BRT,2,Pulo Gadung 1 - Harmoni,331229,sedang penumpang (brt)
78,2021,10,BRT,13,Ciledug - Tendean,307410,sedang penumpang (brt)
79,2021,10,BRT,12,Penjaringan - Sunter Bouleverd Barat,140853,sepi penumpang (brt)
80,2021,10,BRT,11,Pulo Gebang - Kampung Melayu,135543,sepi penumpang (brt)
81,2021,10,BRT,10,Tanjung Priok - PGC 2,369184,sedang penumpang (brt)
82,2021,10,BRT,1,Blok M - Kota,903783,ramai penumpang (brt)
83,2021,10,Angkutan Umum Integrasi,9H,Cipedak - Blok M,16256,sepi penumpang (Angkutan Umum Integrasi)
84,2021,10,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,16905,sepi penumpang (Angkutan Umum Integrasi)
85,2021,10,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,81799,sepi penumpang (Angkutan Umum Integrasi)
86,2021,10,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,8122,sepi penumpang (Angkutan Umum Integrasi)
87,2021,10,Angkutan Umum Integrasi,8E,Bintaro - Blok M,18112,sepi penumpang (Angkutan Umum Integrasi)
88,2021,10,Angkutan Umum Integrasi,8D,Joglo - Blok M,24637,sepi penumpang (Angkutan Umum Integrasi)
89,2021,10,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0,sepi penumpang (Angkutan Umum Integrasi)
90,2021,10,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,25384,sepi penumpang (Angkutan Umum Integrasi)
91,2021,10,Angkutan Umum Integrasi,7D,Pancoran - TMII,20689,sepi penumpang (Angkutan Umum Integrasi)
92,2021,10,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,77492,sepi penumpang (Angkutan Umum Integrasi)
93,2021,10,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,80151,sepi penumpang (Angkutan Umum Integrasi)
94,2021,10,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,0,sepi penumpang (Angkutan Umum Integrasi)
95,2021,10,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,25776,sepi penumpang (Angkutan Umum Integrasi)
96,2021,10,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,19821,sepi penumpang (Angkutan Umum Integrasi)
97,2021,10,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,18839,sepi penumpang (Angkutan Umum Integrasi)
